"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000137693",633.196642153886,8.84435569450879,0.447460522361894,19.7656670309693,5.88157892754651e-87,9.68754865156185e-83,"YAP1",NA,"GO:0003713"
"ENSG00000114019",406.614829207178,7.77558004367059,0.42902863681774,18.1236854055824,2.07236987775057e-73,1.65017233833954e-69,"AMOTL2",NA,"GO:0005515"
"ENSG00000078098",139.662587153308,24.9897316808723,1.38040242023014,18.1032221580037,3.0055959049351e-73,1.65017233833954e-69,"FAP",NA,"GO:0001525"
"ENSG00000197702",413.257702433197,8.63616644441229,0.495236772382926,17.4384595934945,4.21276245414589e-68,1.73471025955592e-64,"PARVA",NA,"GO:0002040"
"ENSG00000182162",130.055739502936,-7.02783755376032,0.418253773015247,-16.8028073078593,2.32761874549823e-63,7.66764167142025e-60,"P2RY8",NA,"GO:0004930"
"ENSG00000169594",101.16755940586,22.8258609645989,1.42694659223615,15.9962966300152,1.35605287564596e-57,3.72259115246077e-54,"BNC1",NA,"GO:0003677"
"ENSG00000188643",2927.0095473657,7.90751580901064,0.495368093261501,15.9629090298238,2.31676567842319e-57,5.45134964132977e-54,"S100A16",NA,"GO:0003723"
"ENSG00000122786",1405.29937809735,8.04558106566218,0.506293548979213,15.8911388104463,7.29894240063775e-57,1.5027610035113e-53,"CALD1",NA,"GO:0003779"
"ENSG00000123338",93.5948834329104,-9.6625622126142,0.627077189383733,-15.4088880542923,1.426452087289e-53,2.58670252481523e-50,"NCKAP1L",NA,"GO:0001782"
"ENSG00000198768",67.5112037587987,24.0014413556441,1.55826487623609,15.402671087356,1.57045870002746e-53,2.58670252481523e-50,"APCDD1L",NA,"GO:0016021"
"ENSG00000172380",797.166106061961,6.49578443659749,0.424532622007886,15.3010254097195,7.52614398343609e-53,1.12693743228342e-49,"GNG12",NA,"GO:0004871"
"ENSG00000115221",60.6011875726489,22.8510047894471,1.51503038237886,15.0828690006645,2.09944221497403e-51,2.88165939356977e-48,"ITGB6",NA,"GO:0001618"
"ENSG00000081237",117.884617461831,-7.60093011395638,0.509834430214115,-14.9086245720287,2.89657942091974e-50,3.66996612630531e-47,"PTPRC","3.1.3.48","GO:0001915"
"ENSG00000060718",73.8692910893593,24.1329467993518,1.62465206009392,14.8542247242507,6.53192068029531e-50,7.68480468036743e-47,"COL11A1",NA,"GO:0001502"
"ENSG00000172037",427.744014721237,6.84428310568476,0.464505175777796,14.7345680147143,3.86661896675703e-49,4.245805400097e-46,"LAMB2",NA,"GO:0005178"
"ENSG00000152104",151.405760547921,6.30888201141314,0.428476760123863,14.7239771174273,4.5226099178315e-49,4.65574424728766e-46,"PTPN14",NA,"GO:0001946"
"ENSG00000018408",374.62718193042,7.27088105914217,0.49631221282079,14.649812902685,1.35087173136113e-48,1.30883578160289e-45,"WWTR1",NA,"GO:0000122"
