"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000197702",407.535457333914,8.16369891769007,0.416525365112885,19.5995240661456,1.56076795376198e-85,2.5769839684564e-81,"PARVA",NA,"GO:0002040"
"ENSG00000198768",57.1730641480218,24.1451652925003,1.29240166074456,18.6824003913691,6.88521910461672e-78,5.68409263181633e-74,"APCDD1L",NA,"GO:0016021"
"ENSG00000188643",2594.39791418736,8.01840920923299,0.430747039259002,18.6151232125165,2.42302095331334e-77,1.33354996533855e-73,"S100A16",NA,"GO:0003723"
"ENSG00000060718",77.2296121162554,24.7863731367998,1.36249282448219,18.1919293015138,5.97977221937976e-74,2.46830047785448e-70,"COL11A1",NA,"GO:0001502"
"ENSG00000166923",213.150720428911,26.2209218910524,1.4807991299161,17.7072780239531,3.68465771689197e-70,1.21674767127207e-66,"GREM1",NA,"GO:0000902"
"ENSG00000115221",86.9243747616598,24.9555061867684,1.44348421777483,17.2883817359901,5.75451896872229e-67,1.5835477115429e-63,"ITGB6",NA,"GO:0001618"
"ENSG00000124343",32.6878139488185,23.5375676503982,1.37239576894782,17.1507142348914,6.20846909336549e-66,1.46440047429368e-62,"XG",NA,"GO:0003674"
"ENSG00000176971",70.9656709810973,24.6760539363234,1.45446054610788,16.9657774508606,1.47139305406e-64,3.03677133944809e-61,"FIBIN",NA,"GO:0003674"
"ENSG00000144891",25.9235026041968,23.2742216479305,1.41422856771095,16.4571853371635,7.44843373985446e-61,1.35468941135002e-57,"AGTR1",NA,"GO:0001558"
"ENSG00000101825",46.8474933692469,24.1038999925391,1.46516428595677,16.4513291946636,8.20476901065967e-61,1.35468941135002e-57,"MXRA5",NA,"GO:0003674"
"ENSG00000139874",43.1469612719406,23.2191388456296,1.44082986134868,16.1151149545829,1.9979209871771e-58,2.99887940175283e-55,"SSTR1",NA,"GO:0004994"
"ENSG00000123338",109.413637631938,-9.81059991765203,0.611028372081279,-16.0558827804268,5.19938637115305e-58,7.153922364509e-55,"NCKAP1L",NA,"GO:0001782"
"ENSG00000081237",124.030914566007,-7.48008474424748,0.508123489475701,-14.7209977479405,4.72635132838038e-49,6.00282975252989e-46,"PTPRC","3.1.3.48","GO:0001915"
