"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm"
"ENSG00000254521",30.998259570196,27.314774815744,2.19950683965999e-17,1.84120717547938e-15,"SIGLEC12","protein_coding",3.96152088015451
"ENSG00000169397",65.9026466360839,11.7674650669378,1.81182336796812e-10,4.94031707272351e-09,"RNASE3","protein_coding",8.01774736797863
"ENSG00000149516",111.777364375897,11.5364039453684,4.21141277523661e-16,2.87785602787801e-14,"MS4A3","protein_coding",13.1967649862869
"ENSG00000255587",39.0711357794652,11.4786556346191,6.55134022215479e-14,3.29376990988935e-12,"RAB44","protein_coding",4.65281726758184
"ENSG00000163563",77.7453542971225,10.9032395707371,9.32586352074108e-13,3.83620656177511e-11,"MNDA","protein_coding",8.34422047371743
"ENSG00000169385",452.482212564669,10.6467056932551,2.94823543210387e-11,9.15758026053489e-10,"RNASE2","protein_coding",50.8611761163625
"ENSG00000198829",19.7069238497619,10.422340105485,1.18524208045803e-10,3.31828142324889e-09,"SUCNR1","protein_coding",2.51294281491184
"ENSG00000131721",61.3584745184846,10.1530852328413,1.80651987314161e-05,0.000139505330793989,"RHOXF2","protein_coding",9.25097107568255
"ENSG00000112799",63.8698263905158,10.1099712486233,8.47670994381032e-18,7.54878073825917e-16,"LY86","protein_coding",7.35670632248603
"ENSG00000102145",81.426324828763,9.94632076764232,5.54177291562775e-13,2.40987953645298e-11,"GATA1","protein_coding",11.1242868796844
"ENSG00000186652",410.957111827756,9.88410385599656,1.30730685750046e-16,9.81476744765592e-15,"PRG2","protein_coding",275.87311758552
"ENSG00000183918",70.5755282117233,9.76769214362098,5.14313717993646e-10,1.25886553605989e-08,"SH2D1A","protein_coding",10.9885880936479
"ENSG00000150681",25.3458408124216,9.72956947511844,1.00818954880219e-11,3.42375444747389e-10,"RGS18","protein_coding",3.11507701787306
"ENSG00000011600",162.054060153292,9.65684824092805,9.96942593882253e-24,2.0354649886313e-21,"TYROBP","protein_coding",19.3970117698931
"ENSG00000066336",172.320580202358,9.64657297259873,6.51429758378531e-43,8.38941308828721e-40,"SPI1","protein_coding",20.5416185103306
"ENSG00000035720",42.7009696047348,9.62988819155799,5.01763906285751e-16,3.36021252761442e-14,"STAP1","protein_coding",5.22328348871878
"ENSG00000254415",18.3747744950637,9.40578093759623,2.88261242914932e-09,5.91430113833554e-08,"SIGLEC14","protein_coding",2.34859777898369
"ENSG00000010671",274.641159090201,9.37191306744329,9.03161444877666e-32,4.87765448714254e-29,"BTK","protein_coding",35.3400444956859
"ENSG00000167851",35.5060019273285,9.36302002747913,2.34697478752799e-14,1.28035694754958e-12,"CD300A","protein_coding",4.29147963915753
"ENSG00000175857",42.811009201029,9.27742423374055,1.4110685652831e-23,2.84627830361081e-21,"GAPT","protein_coding",5.29648917972554
"ENSG00000092067",42.2865946068655,9.21227771801742,3.15068676301266e-07,3.95491187628868e-06,"CEBPE","protein_coding",5.13382224381469
"ENSG00000204472",71.2812536858482,9.1883330973025,3.00955562769097e-21,4.53927750619839e-19,"AIF1","protein_coding",8.31930233120194
"ENSG00000100365",150.483581898676,9.12361450687759,7.94771572245476e-24,1.66325820781672e-21,"NCF4","protein_coding",18.4369581806178
"ENSG00000166428",59.5270069858423,9.05107973095815,1.91584783105037e-21,2.99767517639676e-19,"PLD4","protein_coding",6.81731147575081
